,ID,Population,Group_Population,Region,State / Province / City,Country of origin / collected in,not_most_accurate,Continent,Sampling Location (Cambridgesamples),Latitude,Longitude,Uncertainty,Area,Certainty group,Comment,Source,Secondary Source,Unique
257,258,Evenkis,Evenkis,,,Russia,0.0,Siberia,Kislokan,63.5885216,103.9508864,,,2.0,,Estonians,,Evenkis_Kislokan
258,259,Evenkis,Evenkis,,,Russia,0.0,Siberia,"Erbogachen, Irkutsk Region",57.36666700000001,106.0,,767900.0,3.0,,Estonians,,Evenkis_Erbogachen
259,260,Evenkis,Evenkis,,,Russia,0.0,Siberia,Nidym,64.1145202,99.9175066,,,2.0,,Estonians,,Evenkis_Nidym
261,262,Evenkis,Evenkis,,,Russia,0.0,Siberia,Surinda,62.556478000000006,97.4085391,,,2.0,,Estonians,,Evenkis_Surinda
262,263,Evenkis,Evenkis,,,Russia,0.0,Siberia,Poligus,61.977486999999996,94.65996899999999,,,2.0,,Estonians,,Evenkis_Poligus
263,264,Evenkis,Evenkis,,,Russia,0.0,Siberia,"Nakanno, Irkutsk Region",62.90070060000001,108.45205859999999,,,2.0,,Estonians,,Evenkis_Nakanno
264,265,Evenkis,Evenkis,,,Russia,0.0,Siberia,Baykit,61.67942370000001,96.35838259999998,,,2.0,,Estonians,,Evenkis_Baykit
267,268,Evens,Evens,,,Russia,0.0,Siberia,"Gadlya, Ola District",59.683225,151.300006,,,1.0,,Estonians,,Evens_Gadlya
268,269,Evens,Evens,,,Russia,0.0,Siberia,"Gizhiga, Severo-Evensk District",62.04985,160.49999499999998,,,1.0,,Estonians,,Evens_Gizhiga
269,270,Evens,Evens,,,Russia,0.0,Siberia,"Evensk, Severo-Evensk District",61.921572,159.236046,,,1.0,,Estonians,,Evens_Evensk
270,271,Evens,Evens,,,Russia,0.0,Siberia,"Paren, Severo-Evensk District",62.41805600000001,163.090278,,,1.0,,Estonians,,Evens_Paren
271,272,Evens,Evens,,,Russia,0.0,Siberia,"Arman, Ola District",59.673570999999995,150.13061499999998,,,1.0,,Estonians,,Evens_Arman
272,273,Evens,Evens,,,Russia,0.0,Siberia,"Topolovka, Severo-Evensk District",61.365225,160.125767,,,1.0,,Estonians,,Evens_Topolovka
274,275,Evens,Evens,,,Russia,0.0,Siberia,"Garmanda, Severo-Evensk District",62.179694,159.086676,,,1.0,,Estonians,,Evens_Garmanda
277,278,Koryaks,Koryaks,,,Russia,0.0,Siberia,"Paren, Severo-Evensk District",62.423773,163.182477,,,1.0,,Estonians,,Koryaks_Paren
278,279,Koryaks,Koryaks,,,Russia,0.0,Siberia,"Evensk, Severo-Evensk District",61.934852,159.356953,,,1.0,,Estonians,,Koryaks_Evensk
279,280,Koryaks,Koryaks,,,Russia,0.0,Siberia,"Topolovka, Severo-Evensk District",61.3654649,160.119276,,,1.0,,Estonians,,Koryaks_Topolovka
280,281,Koryaks,Koryaks,,,Russia,0.0,Siberia,"Gizhiga, Severo-Evensk District",61.950237,160.378535,,,1.0,,Estonians,,Koryaks_Gizhiga
282,283,Chukchis,Chukchis,,,Russia,0.0,Siberia,,64.714322,177.44540700000002,,,4.0,other Chukchis,Estonians,,Chukchis
284,285,Eskimo,Eskimo,,,Russia,0.0,Siberia,"Novoe Chaplino, Chukotka",64.5036,172.855,,,1.0,,Estonians,,Eskimo
285,286,Aleutians,Aleutians,,Alaska,USA,0.0,America,,58.020270999999994,-152.7691199,,,3.0,,Estonians,,Aleutians
286,287,Athabascans,Athabascans,,,Canada,0.0,America,,54.381964,-124.87265900000001,400,,4.0,,Estonians,,Athabascans
287,288,East_Greenlanders,East_Greenlanders,,,Greenland,0.0,America,,65.6075,-37.566666999999995,,,4.0,Tasiilaq,Estonians,,East_Greenlanders
288,289,West_Greenlanders,West_Greenlanders,,,Greenland,0.0,America,,64.173105,-51.686236,,,4.0,Nuuk,Estonians,,West_Greenlanders
289,290,Wichi,Andean,,,Argentina,0.0,America,Matacoan,-23.211137,-64.099653,,,1.0,,Estonians,,Wichi
290,291,Colla,Andean,,,Argentina,0.0,America,Salta San Antonio de los Cobres,-24.216166,-66.32266800000001,,,1.0,,Estonians,,Colla
291,292,Casigurans,Casigurans,Casiguran,,Philippines,0.0,Southeast Asia,,16.226305,122.040504,,,2.0,,Estonians,,Casigurans
292,293,Lowlander,Lowlander,Kanaynayan,,Philippines,0.0,Southeast Asia,,14.933468,120.19908500000001,,,3.0,,Estonians,,Lowlander
293,294,Zambales,Zambales,Zambales,,Philippines,0.0,Southeast Asia,,15.381117999999999,120.082008,,,3.0,,Estonians,,Zambales
294,295,Tagbanua,Tagbanua,Mangapin,,Philippines,0.0,Southeast Asia,,9.963481,118.789626,,,3.0,,Estonians,,Tagbanua
300,301,Aeta,Aeta,,,Philippines,0.0,Southeast Asia,,15.0,120.0,,,3.0,,Estonians,,Aeta
301,302,Agta,Agta,San Ildefonso Peninsular,,Philippines,0.0,Southeast Asia,,16.076087,122.049784,,,2.0,,Estonians,,Agta
306,307,PNG_Highlander,PNG_Highlander,PNG Highlands,,Papua New Guinea,0.0,Oceania,,-5.981829,143.925028,400,,4.0,Mende,Estonians,,PNG_Highlander
307,308,Koinambe,Koinambe,Koinambe,,Papua New Guinea,0.0,Oceania,,-5.47545,144.590297,,,2.0,,Estonians,,Koinambe
308,309,Kosipe,Kosipe,Kosipe,,Papua New Guinea,0.0,Oceania,,-8.448486,147.21813600000002,,,2.0,,Estonians,,Kosipe
309,310,Ain_Touta_WGA,Ain_Touta_WGA,,,Algeria,0.0,Africa,,35.4,5.9,,,1.0,,Human Origins,Mark G. Thomas / Leila Laredj,Ain_Touta_WGA
310,311,Algerian,Algerian,,,Algeria,0.0,Africa,,36.8,3.0,,,1.0,,Human Origins,David Comas,Algerian
311,312,Mozabite,Mozabite,,,Algeria,0.0,Africa,,32.0,3.0,,,1.0,,Human Origins,Patterson et al. 2012,Mozabite
312,313,BantuSA,Bantu_SA_Ovambo,,,Angola,0.0,Africa,,-19.0,18.0,,,1.0,,Human Origins,Patterson et al. 2012,Bantu_SA_Ovambo
313,314,Gana,Gana,,,Botswana,0.0,Africa,,-21.7,23.4,,,1.0,,Human Origins,Pickrell et al. 2012 and 2014,Gana
