,Sample ID,comments 1,comments 2,Population,Group_Population,Region,State / Province / City,Country of origin / collected in,Sampling Location (Cambridgesamples),Continent,Language,Latitude,Longitude,source,chip,wikidata,uncertaintu
84,Yemen2,1st degree relative to Yemen7,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
85,Yemen3,identical to Yemen6,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
86,Yemen4,,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
87,Yemen5,,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
88,Yemen6,identical to Yemen3,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
89,Yemen7,1st degree relative to Yemen2,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
90,Yemen8,,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
91,Yemen9,,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
92,GRC12118095,,Israel03,Yemenite_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
93,GRC12118086,,Israel33,Yemenite_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
94,GRC12118087,,Israel41,Yemenite_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
95,Yemen_Jew_1,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
96,Yemen_Jew_10,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
97,Yemen_Jew_11,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
98,Yemen_Jew_12,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
99,Yemen_Jew_13,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
100,Yemen_Jew_14,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
101,Yemen_Jew_15,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
102,Yemen_Jew_2,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
103,Yemen_Jew_3,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
104,Yemen_Jew_4,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
105,Yemen_Jew_5,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
106,Yemen_Jew_6,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
107,Yemen_Jew_7,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
108,Yemen_Jew_8,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
109,Yemen_Jew_9,,,Yemenite_Jews,Jews,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
110,SyriaJewSY06,,,Syrian_Jews,Jews,,,Syria,,Near East,,,,Behar et al 2013 Khazar,660k,,
111,SyriaJewK6,,,Syrian_Jews,Jews,,,Syria,,Near East,,,,Behar et al 2013 Khazar,660k,,
112,Jordan214,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
113,Jordan305,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
114,Jordan307,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
115,Jordan382,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
116,Jordan384,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
117,Jordan387,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
118,Jordan426,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
119,Jordan444,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
120,Jordan445,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
121,Jordan485,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
122,Jordan502,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
123,Jordan503,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
124,Jordan543,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
125,Jordan546,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
126,Jordan560,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
127,Jordan563,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
128,Jordan603,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
129,Jordan608,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
130,Jordan62,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
131,Jordan646,,,Jordanians,Jordanians,,,Jordania,,Near East,,,,Behar et al 2010,660k,,
132,syria1,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
133,syria10,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
134,syria2,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
135,syria298,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,660k,,
136,syria3,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
137,syria361,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,660k,,
138,syria4,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
139,syria461,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,660k,,
140,syria464,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,660k,,
141,syria485,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,660k,,
142,syria5,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
143,syria520,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,660k,,
144,syria6,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
145,syria7,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
146,syria8,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
147,syria9,,,Syrians,Syrians,,,Syria,,Near East,,,,Behar et al 2010,610k,,
148,Lebanon1,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2013 Khazar,610k,,
149,Lebanon2,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2010,610k,,
150,Lebanon3,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2010,610k,,
151,Lebanon4,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2010,610k,,
152,Lebanon5,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2010,610k,,
153,Lebanon6,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2010,610k,,
154,Lebanon7,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2010,610k,,
155,Lebanon8,,,Lebanese,Lebanese,,,Lebanon,,Near East,,,,Behar et al 2010,610k,,
156,GRC12118093,,Israel34,Druze,Druze,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
157,GRC12118099,,Israel35,Druze,Druze,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
158,GRC12118105,,Israel36,Druze,Druze,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
159,Samaritian983,,,Samaritians,Samaritians,,,Israel,,Near East,,,,Behar et al 2010,660k,,
160,Samaritian988,,,Samaritians,Samaritians,,,Israel,,Near East,,,,Behar et al 2010,660k,,
161,Samaritian990,,,Samaritians,Samaritians,,,Israel,,Near East,,,,Behar et al 2010,660k,,
162,Morocco_Jew_1,identical to MorJew2001,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
163,Morocco_Jew_10,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
164,Morocco_Jew_11,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
165,Morocco_Jew_12,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
166,Morocco_Jew_13,identical to MorJew1973,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
167,Morocco_Jew_14,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
168,Morocco_Jew_15,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
169,Morocco_Jew_2,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
170,Morocco_Jew_3,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
171,Morocco_Jew_4,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
172,Morocco_Jew_5,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
173,Morocco_Jew_6,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
174,Morocco_Jew_7,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
175,Morocco_Jew_8,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
176,Morocco_Jew_9,,,Moroccan_Jews,Jews,,,Morocco,,North Africa,,,,Behar et al 2010,610k,,
177,AlgeriaJew1561,,,Algerian_Jews,Jews,,,Algeria,,North Africa,,,,Behar et al 2013 Khazar,660k,,
178,AlgeriaJew1855,,,Algerian_Jews,Jews,,,Algeria,,North Africa,,,,Behar et al 2013 Khazar,660k,,
179,AlgeriaJew4787,,,Algerian_Jews,Jews,,,Algeria,,North Africa,,,,Behar et al 2013 Khazar,660k,,
180,AlgeriaJew5183,identical to AlgeriaJew5252,,Algerian_Jews,Jews,,,Algeria,,North Africa,,,,Behar et al 2013 Khazar,660k,,
181,AlgeriaJew5216,,,Algerian_Jews,Jews,,,Algeria,,North Africa,,,,Behar et al 2013 Khazar,660k,,
182,GRC12118103,,Israel20,Moroccan_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
183,GRC12118098,,Israel27,Moroccan_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
184,GRC12118104,,Israel28,Moroccan_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
185,TunisiaJew5200,,,Tunisian_Jews,Jews,,,Tunesia,,North Africa,,,,Behar et al 2013 Khazar,660k,,
186,TunisiaJew6074,,,Tunisian_Jews,Jews,,,Tunesia,,North Africa,,,,Behar et al 2013 Khazar,660k,,
187,TunisiaJew1118,,,Tunisian_Jews,Jews,,,Tunesia,,North Africa,,,,Behar et al 2013 Khazar,660k,,
188,TunisiaJew1421,,,Tunisian_Jews,Jews,,,Tunesia,,North Africa,,,,Behar et al 2013 Khazar,660k,,
189,TunisiaJew1511,,,Tunisian_Jews,Jews,,,Tunesia,,North Africa,,,,Behar et al 2013 Khazar,660k,,
190,TunisiaJew1544,,,Tunisian_Jews,Jews,,,Tunesia,,North Africa,,,,Behar et al 2013 Khazar,660k,,
191,LibyaJew1405,,,Libyan_Jews,Jews,,,Libya,,North Africa,,,,Behar et al 2013 Khazar,660k,,
192,LibyaJew1439,,,Libyan_Jews,Jews,,,Libya,,North Africa,,,,Behar et al 2013 Khazar,660k,,
193,LibyaJew1465,,,Libyan_Jews,Jews,,,Libya,,North Africa,,,,Behar et al 2013 Khazar,660k,,
194,LibyaJew1579,,,Libyan_Jews,Jews,,,Libya,,North Africa,,,,Behar et al 2013 Khazar,660k,,
195,LibyaJew1605,,,Libyan_Jews,Jews,,,Libya,,North Africa,,,,Behar et al 2013 Khazar,660k,,
196,LibyaJew1611,,,Libyan_Jews,Jews,,,Libya,,North Africa,,,,Behar et al 2013 Khazar,660k,,
197,sephardic10tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
198,sephardic11bel,Changed from Spain to Portugal (Bayazit&Doron),,Sephardic_Jews,Jews,,Belmonte,Portugal,,Europe,,,,Behar et al 2010,610k,,
199,sephardic12bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
200,sephardic13bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
201,sephardic14bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
202,sephardic15bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
203,sephardic16bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
204,sephardic17bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
205,sephardic18bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
206,sephardic19bul,,,Sephardic_Jews,Jews,,,Bulgaria,,Europe,,,,Behar et al 2010,610k,,
207,sephardic1tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
208,sephardic2tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
209,sephardic3tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
210,sephardic4tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
211,sephardic5tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
212,sephardic6tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
213,sephardic7tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
214,sephardic8tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
215,sephardic9tur,,,Sephardic_Jews,Jews,,,Turkey,,Near East,,,,Behar et al 2010,610k,,
216,ItalyJew1,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
217,ItalyJew2,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
218,ItalyJew3,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
219,ItalyJew4,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
220,ItalyJew5,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
221,ItalyJew6,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
222,ItalyJew7,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
223,ItalyJew8,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
224,ItalyJew9,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
225,ItalyJew10,,,Italian_Jews,Jews,,,Italy,,Europe,,,,Behar et al 2013 Khazar,660k,,
226,FranceJewF38,Changed from French_Jews to Ashkenazi Jews (Bayazit&Doron),,Ashkenazi_Jews,Jews,,,France,,Europe,,,,Behar et al 2013 Khazar,660k,,
227,FranceJewF39,Changed from French_Jews to Ashkenazi Jews (Bayazit&Doron),,Ashkenazi_Jews,Jews,,,France,,Europe,,,,Behar et al 2013 Khazar,660k,,
228,FranceJewF48,Changed from French_Jews to Ashkenazi Jews (Bayazit&Doron),,Ashkenazi_Jews,Jews,,,France,,Europe,,,,Behar et al 2013 Khazar,660k,,
229,FranceJewF50,Changed from French_Jews to Ashkenazi Jews (Bayazit&Doron),,Ashkenazi_Jews,Jews,,,France,,Europe,,,,Behar et al 2013 Khazar,660k,,
230,FranceJewF58,Changed from French_Jews to Ashkenazi Jews (Bayazit&Doron),,Ashkenazi_Jews,Jews,,,France,,Europe,,,,Behar et al 2013 Khazar,660k,,
231,FranceJewF59,Changed from French_Jews to Ashkenazi Jews (Bayazit&Doron),,Ashkenazi_Jews,Jews,,,France,,Europe,,,,Behar et al 2013 Khazar,660k,,
232,ashkenazy10e,,,Ashkenazi_Jews,Jews,,,Russia,,Europe,,,,Behar et al 2010,610k,,
233,ashkenazy10w,,,Ashkenazi_Jews,Jews,,,Netherlands,,Europe,,,,Behar et al 2010,610k,,
234,ashkenazy1e,,,Ashkenazi_Jews,Jews,,,Belorussia,,Europe,,,,Behar et al 2010,610k,,
235,ashkenazy1w,,Austrohungar,Ashkenazi_Jews,Jews,,,Austria,,Europe,,,,Behar et al 2010,610k,,
236,ashkenazy2e,,,Ashkenazi_Jews,Jews,,,Belorussia,,Europe,,,,Behar et al 2010,610k,,
