HGDPIndividualNumber	PopulationCode	PopulationName	SamplingLocation	GeographicRegionOfPopulation	Sex	InHGDP-CEPHpanel[CannEtAl2002]?	AnalyzedInRosenbergEtAl2002?	PopulationLabelBelievedToBeCorrect?	HasNoDuplicatesInPanel?	AnalyzedInRosenbergEtAl2005[datasetH1048]?	HasNoKnown1stDegreeRelativesInPanel?	HasNoKnown1stOr2ndDegreeRelativesInPanel?	HasAParentOrOffspringInPanel?	IncludedInDataset971[No1stDegreeRelatives]?	IncludedInDataset952[No1stOr2ndDegreeRelatives]?	DuplicationConjugate[OnlyDiffersFromSampleNumberIfSampleIsDuplicated]	AlternatePopulationCode[OnlyDiffersFromPrimaryPopulationCodeForBantuSouthAfrica]	AlternatePopulationName[OnlyDiffersFromPrimaryPopulationNameForBantuSouthAfrica]	OrangeQInRosenbergEtAl2002Fig1K=5	BlueQInRosenbergEtAl2002Fig1K=5	PinkQInRosenbergEtAl2002Fig1K=5	GreenQInRosenbergEtAl2002Fig1K=5	PurpleQInRosenbergEtAl2002Fig1K=5
1355	617	Tu	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1355	617	Tu	0.004	0.033	0.946	0.008	0.009
1356	617	Tu	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1356	617	Tu	0.056	0.027	0.9	0.014	0.004
1357	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1357	24	Basque	0.002	0.989	0.002	0.001	0.006
1358	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1358	24	Basque	0.001	0.996	0.001	0.001	0.001
1359	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1359	24	Basque	0.001	0.992	0.003	0.002	0.001
1360	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1360	24	Basque	0.001	0.992	0.001	0.005	0.001
1361	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1361	24	Basque	0.002	0.991	0.002	0.003	0.002
1362	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1362	24	Basque	0.001	0.993	0.003	0.001	0.001
1363	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1363	24	Basque	0.001	0.995	0.002	0.001	0.001
1364	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1364	24	Basque	0.001	0.994	0.002	0.001	0.002
1365	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1365	24	Basque	0.002	0.977	0.01	0.008	0.003
1366	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1366	24	Basque	0	0.987	0.004	0.002	0.007
1367	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1367	24	Basque	0.001	0.99	0.003	0.003	0.002
1368	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1368	24	Basque	0.001	0.996	0.001	0.001	0.001
1369	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1369	24	Basque	0.001	0.985	0.002	0.002	0.01
1370	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1370	24	Basque	0.001	0.993	0.003	0.001	0.001
1371	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1371	24	Basque	0.001	0.951	0.008	0.04	0.001
1372	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1372	24	Basque	0.001	0.974	0.023	0.001	0.001
1373	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1373	24	Basque	0.001	0.931	0.011	0.002	0.055
1374	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1374	24	Basque	0.002	0.977	0.004	0.001	0.016
1375	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1375	24	Basque	0.001	0.988	0.007	0.003	0.001
1376	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1376	24	Basque	0.002	0.995	0.001	0.001	0.001
1377	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1377	24	Basque	0.002	0.99	0.004	0	0.004
1378	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1378	24	Basque	0.003	0.993	0.001	0.001	0.001
1379	24	Basque	France	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1379	24	Basque	0.018	0.971	0.007	0.004	0.001
1380	24	Basque	France	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1380	24	Basque	0.001	0.992	0.003	0.003	0.001
1381	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1381	21	Adygei	0.004	0.939	0.02	0.034	0.003
1382	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1382	21	Adygei	0.003	0.964	0.028	0.002	0.004
1383	21	Adygei	Russia-Caucasus	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1383	21	Adygei	0.038	0.821	0.131	0.002	0.008
1384	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1384	21	Adygei	0.003	0.97	0.014	0.011	0.002
1385	21	Adygei	Russia-Caucasus	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1385	21	Adygei	0.002	0.988	0.005	0.003	0.003
1386	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1386	21	Adygei	0.001	0.978	0.017	0.001	0.003
1387	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1387	21	Adygei	0.001	0.989	0.001	0.001	0.008
1388	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1388	21	Adygei	0.001	0.968	0.025	0.001	0.005
1396	21	Adygei	Russia-Caucasus	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1396	21	Adygei	0.002	0.968	0.026	0.002	0.003
1397	21	Adygei	Russia-Caucasus	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1397	21	Adygei	0.002	0.975	0.018	0.003	0.002
1398	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1398	21	Adygei	0.003	0.97	0.003	0.019	0.005
1399	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1399	21	Adygei	0.001	0.987	0.008	0.002	0.002
1400	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1400	21	Adygei	0.001	0.981	0.007	0.002	0.01
1401	21	Adygei	Russia-Caucasus	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1401	21	Adygei	0.001	0.949	0.03	0.014	0.006
1402	21	Adygei	Russia-Caucasus	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1402	21	Adygei	0.001	0.986	0.007	0.003	0.002
1403	21	Adygei	Russia-Caucasus	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1403	21	Adygei	0.004	0.976	0.003	0.006	0.011
1404	21	Adygei	Russia-Caucasus	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1404	21	Adygei	0.001	0.956	0.032	0.009	0.001
1405	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1405	441	BantuKenya	0.965	0.009	0.018	0.005	0.004
1406	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1406	441	BantuKenya	0.885	0.106	0.004	0.002	0.002
1408	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1408	441	BantuKenya	0.825	0.114	0.004	0.011	0.046
1410	457	Nilote	Sudan	AFRICA	m	0	0	1	1	0	NA	NA	NA	0	0	1410	457	Nilote	NA	NA	NA	NA	NA
1411	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	0	0	0	1	1	1411	441	BantuKenya	0.84	0.157	0.001	0.001	0.001
1412	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1412	441	BantuKenya	0.962	0.024	0.002	0.006	0.006
1413	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	0	0	0	0	0	1413	441	BantuKenya	0.868	0.12	0.001	0.003	0.007
1414	441	BantuKenya	Kenya	AFRICA	f	1	1	1	1	1	1	1	0	1	1	1414	441	BantuKenya	0.794	0.199	0.001	0.003	0.003
1415	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1415	441	BantuKenya	0.904	0.077	0.011	0.001	0.007
1416	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1416	441	BantuKenya	0.806	0.188	0.002	0.002	0.002
1417	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1417	441	BantuKenya	0.985	0.011	0.002	0.001	0.001
1418	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1418	441	BantuKenya	0.847	0.143	0.002	0.002	0.007
1419	441	BantuKenya	Kenya	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1419	441	BantuKenya	0.991	0.004	0.002	0.001	0.003
NA	NA	NA	NA	NA	687m379f	1064	1056	1064	1040	1048	904	868	100	971	952	NA	NA	NA	NA	NA	NA	NA	NA
